"Property ID","Property Type","Full Address","Address 1","Address 2",City,ZIP,State,Status,Specialist,"Sale Date",Price,"Down 1","Better price","Down 2","Best price","Down 3","Monthly Lease",Beds,Baths,Sq.Ft,Lot,Garage,"Year Built","Property Shown",County,Subdivision,"Date Inspected",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
158244,Land,"Address:
      
        3502 Chewning Rd
              
        Locality:
    
                     27565 NC
            United States","3502 Chewning Rd",,Salem,27565,NC,Available,,"Tuesday, November 02, 2021","42,999","1,850","41,999","2,850","40,999",3850.00,,,,"43,124",,,,✔,Granville,,2023-02-09,36.378499,-78.591933,1,rooftop,3502,"Chewning Rd",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158248,Land,"Address:
      
        7186 Bayberry Dr
                  AKA 7086 Bayberry Dr
              
        Locality:
    
                     27565 NC
            United States","7186 Bayberry Dr","AKA 7086 Bayberry Dr",Oxford,27565,NC,Available,,,"39,999","1,500","38,999","2,500","37,999",3500.00,,,,"43,560",,,,✔,Granville,,2023-02-08,36.391033,-78.611603,0.81,nearest_rooftop_match,7090,"Bayberry Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158247,Land,"Address:
      
        7119 HAMPTON DR
              
        Locality:
    
                     27565 NC
            United States","7119 HAMPTON DR",,Salem,27565,NC,Available,,"Thursday, November 09, 2017","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"43,560",,,,✔,Granville,,2023-02-09,36.391312,-78.615261,1,rooftop,7119,"Hampton Rd",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158250,Land,"Address:
      
        7083 BAYBERRY DR
              
        Locality:
    
                     27565 NC
            United States","7083 BAYBERRY DR",,Oxford,27565,NC,Available,,"Monday, August 14, 2023","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"43,560",,,,✔,Granville,,2023-02-08,36.392042,-78.610707,1,rooftop,7083,"Bayberry Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158251,Land,"Address:
      
        7092 Porter Dr
              
        Locality:
    
                     27565 NC
            United States","7092 Porter Dr",,Oxford,27565,NC,Available,,,"36,999","1,350","35,999","2,350","34,999",3350.00,,,,"43,560",,,,✔,Granville,,2023-02-08,36.392402,-78.609854,1,rooftop,7092,"Porter Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158254,Land,"Address:
      
        7079 BAYBERRY DR
              
        Locality:
    
                     27565 NC
            United States","7079 BAYBERRY DR",,Oxford,27565,NC,Available,"Cynthia Garcia","Friday, January 15, 2021","47,999",599,"46,999","1,499","44,999",2999.00,,,,"43,560",,,,✔,Granville,,2023-02-08,36.392692,-78.611347,1,rooftop,7079,"Bayberry Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158255,Land,"Address:
      
        7075 BAYBERRY DR
              
        Locality:
    
                     27565 NC
            United States","7075 BAYBERRY DR",,Oxford,27565,NC,Sold,"Martha L Cortes","Wednesday, April 08, 2020","47,999",599,"46,999","1,499","44,999",2999.00,,,,"43,560",,,,✔,Granville,,2023-02-08,36.393364,-78.611683,1,rooftop,7075,"Bayberry Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158232,Land,"Address:
      
        6626 Clearwater Dr
              
        Locality:
    
                     27565 NC
            United States","6626 Clearwater Dr",,Salem,27565,NC,Available,,"Thursday, November 02, 2017","36,999","1,350","37,999","2,350","38,999",3350.00,,,,"40,510",,,,✔,Granville,,2023-02-09,36.375829,-78.592503,1,rooftop,6626,"Clearwater Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158241,Land,"Address:
      
        3513 Cascade Ct
              
        Locality:
    
                     27565 NC
            United States","3513 Cascade Ct",,Oxford,27565,NC,Sold,"Martha L Cortes","Wednesday, April 12, 2023","37,999",999,"36,999","2,000","35,999",3000.00,,,,"54,885",,,,✔,Granville,,2023-02-09,36.375431,-78.587175,1,rooftop,3513,"Cascade Ct",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158245,Land,"Address:
      
        7110 HAMPTON RD
              
        Locality:
    
                     27565 NC
            United States","7110 HAMPTON RD",,Oxford,27565,NC,Available,,"Thursday, July 05, 2018","44,900","1,800","43,900","3,000","42,999",4500.00,,,,"43,560",,,,✔,Granville,,2023-02-09,36.392833,-78.614473,1,rooftop,7110,"Hampton Rd",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158288,Land,"Address:
      
        0 Buckhorn Ln
                  Lot 211
              
        Locality:
    
                     27587 NC
            United States","0 Buckhorn Ln","Lot 211","Wake Forest",27587,NC,Available,,"Tuesday, August 23, 2022",,,,,,,,,,"47,200",,,,✔,Granville,"Willow CK",2022-08-23,36.0449,-78.614619,0.7,street_center,,"Buckhorn Ln",,,"Wake Forest",NC,"Wake County",27587,US,"TIGER/Line® dataset from the US Census Bureau"
,Land,"Address:
      
        3144 Virginia Pine Ct
              
        Locality:
    
                     27587 NC
            United States","3144 Virginia Pine Ct",,"Wake Forest",27587,NC,Available,,,"139,999","1,999","138,999","3,500","137,777",4999.00,,,,,60113,,,✔,Granville,Brassfield,2023-08-09,36.050198,-78.606428,1,rooftop,3144,"Virginia Pine Ct",,,"Wake Forest",NC,"Granville County",27587,US,"NC Geographic Information Coordinating Council"
158289,Land,"Address:
      
        3144 Buckhorn Ln
                  Lot 212
              
        Locality:
    
                     27587 NC
            United States","3144 Buckhorn Ln","Lot 212","Wake Forest",27587,NC,Sold,"Valarie Armenta","Monday, July 03, 2023","53,999",799,"52,999","1,999","51,999",3500.00,,,,"41,500",41500,,,✔,Granville,"Willow CK",2022-08-23,36.048811,-78.612633,1,rooftop,3144,"Buckhorn Ln",,,"Wake Forest",NC,"Granville County",27587,US,"NC Geographic Information Coordinating Council"
158172,Land,"Address:
      
        7108 Hampton Rd.
              
        Locality:
    
                     27597 NC
            United States","7108 Hampton Rd.",,Oxford,27597,NC,Available,,,,,,,,,,,,"41,817",,,,✔,Granville,,2023-02-09,36.392989,-78.614035,0.9,rooftop,7108,"Hampton Rd",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158102,Land,"Address:
      
        13116 & 13106 Stells Ct.
              
        Locality:
    
                     27597 NC
            United States","13116 & 13106 Stells Ct.",,Zebulon,27597,NC,Available,,,"134,900","5,700","133,900","6,700","132,900",7700.00,,,,"94,525",,,,✔,NASH,,2023-02-08,35.797671,-78.240352,1,rooftop,13116,"Stells Ct",,,Zebulon,NC,"Nash County",27597,US,Nash
158034,Land,"Address:
      
        6714 & 6736 Pinecrest Rd.
              
        Locality:
    
                     27597 NC
            United States","6714 & 6736 Pinecrest Rd.",,Zebulon,27597,NC,"Sale Pending","Gabriela Espinoza","Friday, September 01, 2023","149,999","6,500","148,999","7,500","147,999",8500.00,,,,,150282,,,✔,NASH,,2023-02-08,35.791221,-78.23419,1,rooftop,6714,"Pinecrest Rd",,6736,Zebulon,NC,"Nash County",27597,US,Nash
158037,Land,"Address:
      
        6991 Little Creek Rd
              
        Locality:
    
                     27597 NC
            United States","6991 Little Creek Rd",,Zebulon,27597,NC,Available,,,"79,999","1,495","78,999","2,999","77,777",4999.00,,,,,30928,,,✔,Nash,"Little Creek",2023-08-09,35.789464,-78.235319,1,rooftop,6991,"Little Creek Rd",,,Zebulon,NC,"Nash County",27597,US,Nash
158265,Land,"Address:
      
        6535 RIPPLE RD
              
        Locality:
    
                     27816 NC
            United States","6535 RIPPLE RD",,Castalia,27816,NC,Available,,"Wednesday, June 06, 2018","35,999","1,375","34,999","2,375","33,999",3375.00,,,,"30,056",,,,✔,Nash,,2023-02-08,36.04438,-78.064136,1,rooftop,6535,"Ripple Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158277,Land,"Address:
      
        6421 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6421 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,900",4200.00,,,,"30,492",,,,✔,Nash,,2023-02-08,36.043134,-78.061866,1,rooftop,6421,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158276,Land,"Address:
      
        6445 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6445 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"30,492",,,,✔,Nash,,2023-02-08,36.043028,-78.062372,1,rooftop,6445,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158275,Land,"Address:
      
        6491 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6491 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"30,927",,,,✔,Nash,,2023-02-08,36.042708,-78.062525,1,rooftop,6491,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158274,Land,"Address:
      
        6521 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6521 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"30,492",,,,✔,Nash,,2023-02-08,36.042397,-78.06256,1,rooftop,6521,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158273,Land,"Address:
      
        6543 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6543 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"31,798",,,,✔,Nash,,2023-02-08,36.042092,-78.06253,1,rooftop,6543,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158272,Land,"Address:
      
        6500 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6500 Branch Ct",,Castalia,27816,NC,Available,,,"47,999","2,200","46,999","3,200","45,999",4500.00,,,,"41,382",,,,✔,Nash,,2023-02-08,36.042834,-78.063683,1,rooftop,6500,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158271,Land,"Address:
      
        6464 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6464 Branch Ct",,Castalia,27816,NC,Available,,,"56,900","2,650","55,900","3,700","54,900",5000.00,,,,"60,112",,,,✔,Nash,,2023-02-08,36.043617,-78.063475,1,rooftop,6464,"Branch Ct",,,Castalia,NC,"Nash County",27816,US,Nash
158268,Land,"Address:
      
        6465 RIPPLE RD
              
        Locality:
    
                     27816 NC
            United States","6465 RIPPLE RD",,Castalia,27816,NC,Available,"Cynthia Garcia","Friday, February 12, 2021","39,999",599,"38,999","1,599","37,999",2599.00,,,,"30,927",,,,✔,Nash,,2023-02-08,36.044654,-78.063039,1,rooftop,6465,"Ripple Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158267,Land,"Address:
      
        6485 Ripple Rd 
              
        Locality:
    
                     27816 NC
            United States","6485 Ripple Rd",,Castalia,27816,NC,Available,,,"39,999","1,500","38,799","2,500","37,999",3500.00,,,,"30,927",,,,✔,Nash,,2023-02-08,36.0446,-78.063425,1,rooftop,6485,"Ripple Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158266,Land,"Address:
      
        6515 Ripple Rd
              
        Locality:
    
                     27816 NC
            United States","6515 Ripple Rd",,Castalia,27816,NC,Available,,"Wednesday, June 06, 2018","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"30,056",,,,✔,Nash,,2023-02-08,36.044492,-78.063809,1,rooftop,6515,"Ripple Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158278,Land,"Address:
      
        5704 SPRING CREEK RD
              
        Locality:
    
                     27816 NC
            United States","5704 SPRING CREEK RD",,Castalia,27816,NC,Available,,"Wednesday, June 06, 2018","58,500",899,"57,500","1,999","56,500",3500.00,,,,"58,370",,,,✔,Nash,,2023-02-09,36.04256,-78.061638,1,rooftop,5704,"Spring Creek Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158262,Land,"Address:
      
        Lot 6 Spring Creek
              
        Locality:
    
                     27816 NC
            United States","Lot 6 Spring Creek",,Castalia,27816,NC,Available,,,"125,900","4,900","124,900","5,900","123,900",7900.00,,,,"204,732",,,,✔,Nash,,2018-06-06,36.0443,-78.062134,0.67,street_center,,"Spring Creek Dr",,,Castalia,NC,"Nash County",27816,US,"TIGER/Line® dataset from the US Census Bureau"
158263,Land,"Address:
      
        5964 Spring Creek Rd
              
        Locality:
    
                     27816 NC
            United States","5964 Spring Creek Rd",,Castalia,27816,NC,Available,,,"39,999","1,500","38,999","2,500","37,999",4000.00,,,,"30,492",,,,✔,Nash,,2023-02-09,36.046409,-78.062204,1,rooftop,5964,"Spring Creek Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158261,Land,"Address:
      
        5795 SPRING CREEK RD
              
        Locality:
    
                     27816 NC
            United States","5795 SPRING CREEK RD",,Castalia,27816,NC,Available,,,"52,900","7,500","51,900","1,599","49,999",3500.00,,,,"44,431",,,,✔,Nash,,2023-02-08,36.044109,-78.061347,1,rooftop,5795,"Spring Creek Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158260,Land,"Address:
      
        5729 Spring Creek Rd
              
        Locality:
    
                     27816 NC
            United States","5729 Spring Creek Rd",,Castalia,27816,NC,Available,,,"59,999","2,900","58,999","4,000","57,000",5000.00,,,,"110,642",,,,✔,Nash,,2023-02-09,36.043792,-78.060284,1,rooftop,5729,"Spring Creek Rd",,,Castalia,NC,"Nash County",27816,US,Nash
158259,Land,"Address:
      
        5693 Spring Creek Dr
              
        Locality:
    
                     27816 NC
            United States","5693 Spring Creek Dr",,Castalia,27816,NC,Available,,,"82,999","4,500","81,999","5,500","80,999",6500.00,,,,"116,740",,,,✔,Nash,,2023-02-09,36.042842,-78.06094,1,range_interpolation,5693,"Spring Creek Dr",,,Castalia,NC,"Nash County",27816,US,"TIGER/Line® dataset from the US Census Bureau"
158279,Land,"Address:
      
        5640 SPRING CREEK RD
              
        Locality:
    
                     27816 NC
            United States","5640 SPRING CREEK RD",,Castalia,27816,NC,Available,,"Wednesday, June 06, 2018","53,000",750,"52,000","1,500","51,000",3500.00,,,,"38,332",,,,✔,Nash,,2023-02-08,36.042145,-78.060386,1,rooftop,5640,"Spring Creek Rd",,,Castalia,NC,"Nash County",27816,US,Nash
191004,Commercial,"Address:
      
        2759 Main Hwy
              
        Locality:
    
                     29003 SC
            United States","2759 Main Hwy",,Bamberg,29003,SC,Available,,,"164,999","13,999","163,500","15,999","162,999",17999.00,,,,"3,500",,,1960,✔,Bamberg,"MID TOWN PLAZA",2023-02-07,33.278576,-81.056601,0.7,street_center,,"Main Hwy",,,Bamberg,SC,"Bamberg County",29003,US,"TIGER/Line® dataset from the US Census Bureau"
133063,Residential,"Address:
      
        5368 SAVANNAH HIGHWAY 
              
        Locality:
    
                     29112 SC
            United States","5368 SAVANNAH HIGHWAY",,North,29112,SC,Available,,,"109,900","5,500","107,900","6,999","105,900",7999.00,,2,1,768,121968,0.00,1965,✔,Orangeburg,,2023-04-20,33.573759,-81.110306,1,rooftop,5368,"Savannah Hwy",,,North,SC,"Orangeburg County",29112,US,Orangeburg
160022,Residential,"Address:
      
        14201 Fairington Ridge Cir.
              
        Locality:
    
                     30038 GA
            United States","14201 Fairington Ridge Cir.",,Lithonia,30038,GA,Sold,"Martha L Cortes","Monday, August 07, 2023","159,999","7,900","158,500","9,900","157,500",11900.00,,3,2,"1,292",,,2006,✔,Dekalb,,2023-04-24,33.698949,-84.152321,1,rooftop,14201,"Fairington Ridge Cir",,,Lithonia,GA,"Dekalb County",30038,US,Dekalb
133023,Residential,"Address:
      
        1359 ROGERS TRACE
              
        Locality:
    
                     30058 GA
            United States","1359 ROGERS TRACE",,Lithonia,30058,GA,Sold,"Vincent Bohne","Monday, August 07, 2023","200,999","16,999","199,999","18,999","198,999",21900.00,,3,2+,"1,568",2178,1.00,2005,✔,DeKalb,,,33.754885,-84.108592,1,rooftop,1359,"Rogers Trce",,,Lithonia,GA,"Dekalb County",30058,US,Dekalb
171031,Commercial,"Address:
      
        6287 MEMORIAL DRIVE
              
        Locality:
    
                     30083 GA
            United States","6287 MEMORIAL DRIVE",,"Stone Mountain",30083,GA,Sold,"Antone Means","Thursday, June 01, 2023","484,000","33,530","480,000","42,750","474,999",56399.00,,,,"5,600",,,1984,✔,DeKalb,,2023-03-02,33.808333,-84.183645,1,rooftop,6287,"Memorial Dr",,,"Stone Mountain",GA,"Dekalb County",30083,US,Dekalb
66003,"Residential, Land","Address:
      
        1197 To Lani Ct
              
        Locality:
    
                     30083 GA
            United States","1197 To Lani Ct",,"Stone Mountain",30083,GA,Available,"Gabriela Espinoza","Wednesday, September 20, 2023","109,999","2,900","108,999","4,500","107,777",6500.00,,2,2,"1,498",5663,2.00,1988,✔,Dekalb,,2023-06-21,33.758885,-84.208041,1,rooftop,1197,"To Lani Ct",,,"Stone Mountain",GA,"Dekalb County",30083,US,Dekalb
,Land,"Address:
      
        825 S Hairston Rd
              
        Locality:
    
                     30088 GA
            United States","825 S Hairston Rd",,"Stone Mountain",30088,GA,Available,,,"154,900","9,500","146,500","13,500","142,500",16500.00,,,,,48351,,,✔,DeKalb,,2023-04-24,33.773104,-84.194755,1,rooftop,825,"S Hairston Rd",,,"Stone Mountain",GA,"Dekalb County",30088,US,Dekalb
149018,Land,"Address:
      
        438 Fieldcrest Dr
              
        Locality:
    
                     30132 GA
            United States","438 Fieldcrest Dr",,Dallas,30132,GA,Available,,,"68,999","1,999","67,999","3,500","66,999",4999.00,,,,,8712,,,✔,Paulding,,2023-07-21,33.994406,-84.795077,1,rooftop,438,"Fieldcrest Dr",,,Dallas,GA,"Paulding County",30132,US,Paulding
149015,Land,"Address:
      
        37 Fielcrest Way
              
        Locality:
    
                     30132 GA
            United States","37 Fielcrest Way",,Dallas,30132,GA,Available,,,,,,,,,,,,,11325,,,✔,Paulding,Fieldcrest,2023-07-21,33.935396,-84.866654,0.5,place,,,,,Dallas,GA,"Paulding County",30132,US,"TIGER/Line® dataset from the US Census Bureau"
149016,Land,"Address:
      
        36 Fieldcrest Way
              
        Locality:
    
                     30132 GA
            United States","36 Fieldcrest Way",,Dallas,30132,GA,Available,,,"53,999",499,"52,999","1,499","51,999",2999.00,,,,,8276,,,✔,Paulding,Fieldcrest,2023-07-21,33.994805,-84.791903,1,rooftop,36,"Fieldcrest Way",,,Dallas,GA,"Paulding County",30132,US,Paulding
149017,Land,"Address:
      
        41 Fieldcrest Way
              
        Locality:
    
                     30132 GA
            United States","41 Fieldcrest Way",,Dallas,30132,GA,Available,,,"56,999",499,"55,999","1,499","54,999",3999.00,,,,,8712,,,✔,Paulding,Fieldcrest,2023-07-21,33.994967,-84.791803,1,rooftop,41,"Fieldcrest Way",,,Dallas,GA,"Paulding County",30132,US,Paulding
140029,Commercial,"Address:
      
        6458 E Spring St. Bldg. B
              
        Locality:
    
                     30134 GA
            United States","6458 E Spring St. Bldg. B",,Douglasville,30134,GA,"Sale Pending","Vincent Bohne","Tuesday, August 29, 2023","595,000","35,000","593,000","45,000","590,000",65000.00,,,,"9,045",31798,,,✔,Douglas,,2023-03-21,33.751183,-84.742097,1,rooftop,6458,"E Spring St",Bldg,B,Douglasville,GA,"Douglas County",30134,US,Douglas
140030,"Land, Commercial","Address:
      
        3340 HWY 92 AKA Fairburn Rd.
              
        Locality:
    
                     30135 GA
            United States","3340 HWY 92 AKA Fairburn Rd.",,Douglasville,30135,GA,Available,,,"234,900","11,999","229,900","13,999",,,1499,,,,96703,,,✔,Douglas,,2023-06-01,33.714351,-84.661917,1,rooftop,3340,"Hwy 92 - Fairburn Rd",,,Douglasville,GA,"Douglas County",30135,US,Douglas
149014,Land,"Address:
      
        7667 Hwy 101 N
              
        Locality:
    
                     30153 GA
            United States","7667 Hwy 101 N",,Rockmart,30153,GA,Available,,,"124,999","2,999","123,999","4,500","122,999",5999.00,,,,,223898,,,✔,Paulding,"Rural West",,33.946153,-85.000331,1,rooftop,7667,"Hwy 101 N",,,Rockmart,GA,"Paulding County",30153,US,"Paulding County"
149019,Land,"Address:
      
        373 Farm Brook Ln
              
        Locality:
    
                     30157 GA
            United States","373 Farm Brook Ln",,Dallas,30157,GA,Available,,,"29,999",499,"28,999","1,499","27,999",2999.00,,,,,20038,,,✔,Paulding,"Jones Mill",2023-07-21,33.918468,-84.986608,1,rooftop,373,"Farm Brook Ln",,,Dallas,GA,"Paulding County",30157,US,Paulding
149020,Land,"Address:
      
        507 St Charles Ave
              
        Locality:
    
                     30157 GA
            United States","507 St Charles Ave",,Dallas,30157,GA,Available,,,"36,999",699,"35,999","1,699","34,999",3500.00,,,,,7405,,,✔,Paulding,"Bartlett Square",2023-07-21,33.909734,-84.846485,1,rooftop,507,"St Charles Ave",,,Dallas,GA,"Paulding County",30157,US,Paulding
,"Land, Commercial","Address:
      
        3015 Veterans Memorial Hwy
              
        Locality:
    
                     30168 GA
            United States","3015 Veterans Memorial Hwy",,Austell,30168,GA,Available,,,"208,500","20,000","204,900","23,000",,,1199,,,,23008,,,✔,Cobb,,2023-06-07,33.805767,-84.636068,1,rooftop,3015,"Veterans Memorial Hwy",,,Austell,GA,"Cobb County",30168,US,"Cobb County"
133041,Residential,"Address:
      
        7386 BATTLECREEK LN
              
        Locality:
    
                     30236 GA
            United States","7386 BATTLECREEK LN",,Jonesborogh,30236,GA,Sold,,"Monday, August 07, 2023","214,999","17,999","213,500","19,999","212,500",22999.00,,4,2+,"1,714",,1.00,2013,✔,Clayton,"Battlecreek Commons",,33.551455,-84.336339,1,rooftop,7386,"Battlecreek Ln",,,Jonesboro,GA,"Clayton County",30236,US,"Clayton County"
133011,Land,"Address:
      
        9225 Woodhill Ln
              
        Locality:
    
                     30238 GA
            United States","9225 Woodhill Ln",,Jonesboro,30238,GA,Available,,,"56,999","2,999","55,999","3,999","54,999",5999.00,,,,"1,364",,,,✔,Clayton,,2023-04-25,33.503942,-84.410627,1,rooftop,9225,"Woodhill Ln",,,Jonesboro,GA,"Clayton County",30238,US,"Clayton County"
140016,"Land, Commercial","Address:
      
        797 Flint River Rd
              
        Locality:
    
                     30238 GA
            United States","797 Flint River Rd",,Jonesboro,30238,GA,Available,,,"189,999","7,999","188,999","9,999","187,999",12999.00,1295,,,,22477,,,✔,Clayton,,2023-07-17,33.518124,-84.365205,1,rooftop,797,"Flint River Rd",,,Jonesboro,GA,"Clayton County",30238,US,"Clayton County"
149007,Residential,"Address:
      
        211 Cobb St.
              
        Locality:
    
                     30268 GA
            United States","211 Cobb St.",,Palmetto,30268,GA,Sold,"Cynthia Garcia","Tuesday, July 25, 2023","139,900","5,900","137,900","7,900","135,900",9900.00,,,,,89167,,1920,✔,Fulton,,2023-03-23,33.515889,-84.669545,1,rooftop,211,"Cobb St",,,Palmetto,GA,"Fulton County",30268,US,"Indemnification Fulton County"
